YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR,DATE
1981,1,1,25.88,26.24,25.62,81.57,3.11,1.48,1981-01-01
1981,1,2,26.16,26.42,25.78,81.12,3.97,1.25,1981-01-02
1981,1,3,26.44,26.7,26.16,79.98,3.84,1.16,1981-01-03
1981,1,4,26.48,26.63,26.23,76.79,2.89,4.79,1981-01-04
1981,1,5,25.98,26.13,25.8,79.34,2.36,2.23,1981-01-05
1981,1,6,25.79,25.92,25.54,81.92,3.01,5.56,1981-01-06
1981,1,7,25.94,26.09,25.74,82.07,3.42,4.08,1981-01-07
1981,1,8,26.21,26.35,25.81,81.07,3.54,3.86,1981-01-08
1981,1,9,26.4,26.59,26.16,80.95,4.52,5.83,1981-01-09
1981,1,10,26.29,26.43,26.12,81.65,4.43,2.42,1981-01-10
1981,1,11,26.34,26.51,26.12,80.85,3.99,3.03,1981-01-11
1981,1,12,26.34,26.6,26.04,79.06,2.81,6.87,1981-01-12
1981,1,13,26.79,27.18,26.39,76.46,3.36,2.05,1981-01-13
1981,1,14,26.8,27.0,26.65,78.68,4.09,2.86,1981-01-14
1981,1,15,26.83,27.2,26.48,77.83,2.69,0.77,1981-01-15
1981,1,16,26.86,26.98,26.54,75.11,2.53,6.1,1981-01-16
1981,1,17,26.67,26.9,26.31,78.47,2.73,0.58,1981-01-17
1981,1,18,26.5,26.65,26.16,79.35,2.91,9.96,1981-01-18
1981,1,19,26.02,26.19,25.86,84.82,4.59,13.34,1981-01-19
1981,1,20,26.03,26.15,25.73,80.77,3.16,10.47,1981-01-20
1981,1,21,26.4,26.72,26.1,74.85,2.33,0.21,1981-01-21
1981,1,22,26.32,26.56,26.11,80.6,3.86,1.73,1981-01-22
1981,1,23,26.42,26.69,25.94,80.74,4.17,1.35,1981-01-23
1981,1,24,26.57,26.89,26.28,79.12,4.05,2.26,1981-01-24
1981,1,25,26.66,26.74,26.53,77.16,3.05,4.98,1981-01-25
1981,1,26,26.68,26.91,26.43,74.29,2.16,11.46,1981-01-26
1981,1,27,26.15,26.71,25.64,75.17,1.58,14.02,1981-01-27
1981,1,28,25.64,26.04,25.03,77.55,2.49,9.83,1981-01-28
1981,1,29,25.32,26.14,24.85,78.39,2.36,8.78,1981-01-29
1981,1,30,26.03,26.14,25.71,80.28,3.43,0.26,1981-01-30
1981,1,31,25.93,26.41,25.43,77.21,1.64,0.12,1981-01-31
1981,2,1,26.68,26.89,26.4,71.84,1.62,0.57,1981-02-01
1981,2,2,26.62,26.9,26.29,76.13,2.03,0.65,1981-02-02
1981,2,3,26.65,27.11,26.37,75.2,3.67,0.53,1981-02-03
1981,2,4,26.9,27.08,26.71,79.81,4.46,2.63,1981-02-04
1981,2,5,26.54,26.77,26.41,81.09,3.34,0.46,1981-02-05
1981,2,6,26.49,26.71,26.35,80.69,2.81,0.22,1981-02-06
1981,2,7,26.48,26.71,26.25,78.39,2.49,0.81,1981-02-07
1981,2,8,26.61,26.78,26.26,77.3,2.77,0.38,1981-02-08
1981,2,9,26.63,26.86,26.45,76.64,2.89,0.26,1981-02-09
1981,2,10,27.06,27.46,26.6,75.03,3.23,0.69,1981-02-10
1981,2,11,26.99,27.33,26.73,76.87,3.59,1.99,1981-02-11
1981,2,12,27.03,27.33,26.76,76.7,2.93,4.39,1981-02-12
1981,2,13,27.06,27.24,26.84,76.53,2.1,4.36,1981-02-13
1981,2,14,27.03,27.11,26.9,75.49,1.82,0.34,1981-02-14
1981,2,15,26.82,27.15,26.49,77.91,2.63,2.26,1981-02-15
1981,2,16,26.89,27.16,26.67,80.75,3.26,1.03,1981-02-16
1981,2,17,26.7,26.82,26.58,82.57,3.23,0.34,1981-02-17
1981,2,18,26.81,27.02,26.53,82.62,3.79,0.58,1981-02-18
1981,2,19,26.73,26.86,26.54,82.68,3.83,0.87,1981-02-19
1981,2,20,27.27,27.52,26.87,79.47,4.21,1.55,1981-02-20
1981,2,21,27.39,27.66,27.18,76.79,2.91,3.85,1981-02-21
1981,2,22,27.07,27.53,26.66,81.62,4.36,13.2,1981-02-22
1981,2,23,26.62,26.72,26.49,81.93,3.79,9.51,1981-02-23
1981,2,24,26.7,26.87,26.51,80.91,2.89,4.29,1981-02-24
1981,2,25,27.09,27.45,26.62,80.49,2.84,0.07,1981-02-25
1981,2,26,27.53,27.74,27.28,81.81,4.19,0.07,1981-02-26
1981,2,27,27.5,27.78,27.23,83.79,4.46,0.09,1981-02-27
1981,2,28,27.58,27.71,27.48,83.71,4.62,0.21,1981-02-28
1981,3,1,27.71,27.94,27.47,82.22,3.83,0.29,1981-03-01
1981,3,2,27.84,28.03,27.57,82.05,4.76,0.37,1981-03-02
1981,3,3,27.99,28.2,27.74,79.53,4.13,0.14,1981-03-03
1981,3,4,27.76,27.97,27.57,82.14,4.49,0.36,1981-03-04
1981,3,5,27.51,27.77,27.38,83.7,4.52,0.15,1981-03-05
1981,3,6,27.34,27.47,27.19,81.65,3.29,0.18,1981-03-06
1981,3,7,27.32,27.44,27.11,80.95,2.8,0.33,1981-03-07
1981,3,8,27.83,28.07,27.39,80.15,3.9,0.57,1981-03-08
1981,3,9,27.83,27.93,27.72,80.39,4.85,1.34,1981-03-09
1981,3,10,27.6,27.73,27.39,80.72,4.14,0.95,1981-03-10
1981,3,11,27.66,27.93,27.32,78.97,4.11,0.68,1981-03-11
1981,3,12,27.52,27.66,27.33,77.47,3.33,0.42,1981-03-12
1981,3,13,27.68,27.83,27.4,78.72,3.99,0.38,1981-03-13
1981,3,14,27.34,27.46,27.16,79.45,3.52,2.01,1981-03-14
1981,3,15,27.2,27.3,27.06,78.28,3.11,2.06,1981-03-15
1981,3,16,27.33,27.45,27.23,76.45,2.39,2.91,1981-03-16
1981,3,17,27.34,27.45,27.23,79.59,3.43,2.47,1981-03-17
1981,3,18,27.16,27.33,27.01,81.85,4.4,3.56,1981-03-18
1981,3,19,27.27,27.61,27.03,80.19,4.12,4.51,1981-03-19
1981,3,20,27.48,27.71,27.19,77.44,3.05,8.21,1981-03-20
1981,3,21,27.42,27.62,27.26,77.85,2.58,14.09,1981-03-21
1981,3,22,26.64,27.45,25.34,75.92,1.54,4.62,1981-03-22
1981,3,23,27.02,27.32,26.68,75.45,3.53,5.16,1981-03-23
1981,3,24,27.01,27.3,26.42,82.46,4.89,9.7,1981-03-24
1981,3,25,26.71,27.32,26.09,78.04,2.35,10.2,1981-03-25
1981,3,26,27.11,27.27,26.74,79.54,2.76,1.69,1981-03-26
1981,3,27,27.01,27.2,26.86,81.66,3.46,20.01,1981-03-27
1981,3,28,27.06,27.52,26.68,75.61,2.21,13.48,1981-03-28
1981,3,29,27.0,27.41,26.84,78.46,2.23,7.83,1981-03-29
1981,3,30,26.93,27.11,26.7,81.96,3.42,2.8,1981-03-30
1981,3,31,27.35,27.62,26.95,80.96,3.26,1.97,1981-03-31
1981,4,1,27.39,27.55,27.28,81.22,3.1,0.0,1981-04-01
1981,4,2,27.73,27.93,27.5,80.31,3.85,0.0,1981-04-02
1981,4,3,27.87,28.11,27.53,79.25,3.92,0.0,1981-04-03
1981,4,4,28.11,28.28,27.99,76.49,3.09,0.0,1981-04-04
1981,4,5,28.05,28.23,27.9,76.93,3.13,0.0,1981-04-05
1981,4,6,27.93,28.04,27.82,77.47,4.27,0.48,1981-04-06
1981,4,7,28.1,28.37,27.74,77.69,5.28,4.13,1981-04-07
1981,4,8,28.15,28.27,27.99,78.68,5.32,1.74,1981-04-08
1981,4,9,28.34,28.7,27.68,80.18,5.81,2.99,1981-04-09
1981,4,10,28.09,28.43,27.72,79.99,4.37,15.51,1981-04-10
1981,4,11,27.8,27.96,27.57,82.21,4.82,2.37,1981-04-11
1981,4,12,27.55,27.71,27.45,84.04,5.11,0.89,1981-04-12
1981,4,13,27.73,28.04,27.46,82.6,3.99,0.21,1981-04-13
1981,4,14,28.2,28.52,27.66,82.32,5.17,0.19,1981-04-14
1981,4,15,28.47,28.65,28.28,82.4,6.27,0.8,1981-04-15
1981,4,16,28.17,28.62,27.45,79.22,4.73,9.99,1981-04-16
1981,4,17,28.18,28.42,28.01,81.32,4.9,0.7,1981-04-17
1981,4,18,28.51,28.68,28.23,79.29,4.36,3.13,1981-04-18
1981,4,19,28.46,28.58,28.16,78.01,3.78,2.61,1981-04-19
1981,4,20,27.77,28.09,27.47,81.5,3.28,1.59,1981-04-20
1981,4,21,27.98,28.29,27.74,82.3,3.95,2.64,1981-04-21
1981,4,22,27.94,28.05,27.73,83.34,4.27,9.8,1981-04-22
1981,4,23,27.15,27.79,26.44,81.89,2.43,9.38,1981-04-23
1981,4,24,27.21,27.85,26.85,84.69,4.6,9.12,1981-04-24
1981,4,25,27.79,28.0,27.53,81.37,3.98,4.03,1981-04-25
1981,4,26,27.38,27.57,27.16,79.01,2.52,6.87,1981-04-26
1981,4,27,27.57,27.98,27.24,80.42,3.86,4.57,1981-04-27
1981,4,28,27.79,27.96,27.48,79.69,5.78,5.02,1981-04-28
1981,4,29,27.95,28.12,27.74,79.15,6.38,1.93,1981-04-29
1981,4,30,27.74,27.83,27.68,78.56,5.3,1.51,1981-04-30
1981,5,1,27.62,27.87,27.47,79.27,5.72,2.08,1981-05-01
1981,5,2,27.59,27.69,27.49,79.43,4.8,2.61,1981-05-02
1981,5,3,27.79,28.01,27.53,77.93,4.01,1.63,1981-05-03
1981,5,4,27.85,27.98,27.64,79.1,4.43,1.73,1981-05-04
1981,5,5,27.32,27.7,27.04,80.49,2.81,2.47,1981-05-05
1981,5,6,27.58,27.69,27.32,79.31,3.16,4.61,1981-05-06
1981,5,7,26.94,27.14,26.79,81.87,3.31,11.89,1981-05-07
1981,5,8,26.57,26.96,26.21,86.79,4.31,12.28,1981-05-08
1981,5,9,26.41,27.0,26.01,85.65,4.63,7.99,1981-05-09
1981,5,10,27.37,27.59,26.9,79.84,5.69,0.3,1981-05-10
1981,5,11,27.44,27.68,27.28,77.65,3.93,0.04,1981-05-11
1981,5,12,27.45,27.58,27.28,77.14,4.21,0.79,1981-05-12
1981,5,13,26.63,27.2,26.32,82.64,3.86,0.44,1981-05-13
1981,5,14,26.49,26.94,26.12,83.36,4.02,0.59,1981-05-14
1981,5,15,27.37,27.61,26.95,81.8,7.24,1.0,1981-05-15
1981,5,16,27.25,27.44,27.09,78.61,5.53,0.33,1981-05-16
1981,5,17,26.84,27.02,26.6,77.24,5.28,0.99,1981-05-17
1981,5,18,26.86,27.14,26.57,77.11,4.65,0.27,1981-05-18
1981,5,19,26.67,26.86,26.52,82.42,4.66,1.2,1981-05-19
1981,5,20,27.03,27.24,26.78,78.02,5.05,2.57,1981-05-20
1981,5,21,26.72,26.88,26.53,80.38,5.83,0.84,1981-05-21
1981,5,22,26.64,26.84,26.35,80.47,5.88,0.34,1981-05-22
1981,5,23,26.76,27.04,26.48,78.69,4.17,0.01,1981-05-23
1981,5,24,27.02,27.13,26.83,80.52,5.05,0.04,1981-05-24
1981,5,25,26.82,26.93,26.66,82.43,6.1,0.03,1981-05-25
1981,5,26,26.69,26.83,26.5,81.75,6.53,1.1,1981-05-26
1981,5,27,26.64,26.83,26.47,77.79,5.34,2.37,1981-05-27
1981,5,28,26.53,26.73,26.42,77.16,4.55,5.34,1981-05-28
1981,5,29,26.3,26.6,26.06,80.61,4.36,1.36,1981-05-29
1981,5,30,26.01,26.14,25.89,84.92,5.53,3.28,1981-05-30
1981,5,31,26.02,26.11,25.91,85.26,5.64,0.72,1981-05-31
1981,6,1,26.24,26.46,25.84,84.08,5.49,0.59,1981-06-01
1981,6,2,26.17,26.34,25.98,83.81,5.27,0.79,1981-06-02
1981,6,3,25.87,26.31,25.51,85.78,6.21,1.09,1981-06-03
1981,6,4,26.33,26.49,26.23,81.69,6.69,0.88,1981-06-04
1981,6,5,26.12,26.21,26.05,81.41,5.88,0.0,1981-06-05
1981,6,6,26.13,26.27,25.91,78.84,5.48,0.0,1981-06-06
1981,6,7,26.17,26.3,26.05,77.3,5.36,0.0,1981-06-07
1981,6,8,26.14,26.3,25.87,80.46,4.8,0.0,1981-06-08
1981,6,9,25.44,25.73,25.18,86.96,4.21,0.0,1981-06-09
1981,6,10,25.51,25.69,25.37,86.82,3.39,0.19,1981-06-10
1981,6,11,25.27,25.34,25.17,86.05,4.11,0.1,1981-06-11
1981,6,12,25.46,25.75,25.09,81.21,4.4,0.07,1981-06-12
1981,6,13,25.47,25.78,25.29,81.7,4.47,0.05,1981-06-13
1981,6,14,25.79,25.95,25.66,80.83,5.59,0.47,1981-06-14
1981,6,15,25.6,25.84,25.25,78.93,5.72,0.4,1981-06-15
1981,6,16,25.65,25.77,25.48,76.7,5.12,0.37,1981-06-16
1981,6,17,25.71,25.85,25.56,76.51,4.79,0.07,1981-06-17
1981,6,18,25.47,25.58,25.34,80.67,3.97,0.14,1981-06-18
1981,6,19,25.44,25.57,25.26,76.09,3.65,0.39,1981-06-19
1981,6,20,25.36,25.52,25.26,80.72,5.57,0.41,1981-06-20
1981,6,21,25.39,25.54,25.17,80.2,6.38,0.83,1981-06-21
1981,6,22,25.3,25.45,25.12,77.27,5.38,2.2,1981-06-22
1981,6,23,25.12,25.19,24.98,75.55,5.3,0.85,1981-06-23
1981,6,24,24.94,25.04,24.8,77.02,5.12,1.97,1981-06-24
1981,6,25,24.84,24.99,24.63,81.32,4.46,0.07,1981-06-25
1981,6,26,24.98,25.12,24.82,80.54,6.05,0.13,1981-06-26
1981,6,27,24.69,24.81,24.41,79.45,6.35,0.62,1981-06-27
1981,6,28,24.6,24.8,24.26,78.85,5.82,0.24,1981-06-28
1981,6,29,24.5,24.69,24.24,77.31,5.73,0.0,1981-06-29
1981,6,30,24.16,24.29,24.05,74.73,5.48,0.17,1981-06-30
1981,7,1,23.99,24.17,23.8,75.46,4.12,0.16,1981-07-01
1981,7,2,24.2,24.54,23.96,80.23,4.53,0.23,1981-07-02
1981,7,3,24.47,24.62,24.37,79.16,3.82,0.15,1981-07-03
1981,7,4,24.65,24.81,24.38,75.6,3.59,0.01,1981-07-04
1981,7,5,24.8,24.92,24.67,79.9,4.89,0.99,1981-07-05
1981,7,6,24.62,24.8,24.52,80.51,4.34,4.56,1981-07-06
1981,7,7,24.55,24.65,24.44,76.2,4.68,1.06,1981-07-07
1981,7,8,24.24,24.54,24.03,79.54,5.51,0.71,1981-07-08
1981,7,9,24.21,24.52,23.96,79.4,5.98,2.56,1981-07-09
1981,7,10,24.37,24.57,24.17,77.12,6.27,0.0,1981-07-10
1981,7,11,23.88,24.1,23.68,73.56,4.4,0.0,1981-07-11
1981,7,12,23.79,24.05,23.5,72.77,4.93,0.0,1981-07-12
1981,7,13,24.04,24.19,23.82,73.61,4.92,0.0,1981-07-13
1981,7,14,24.04,24.29,23.7,78.06,5.02,0.0,1981-07-14
1981,7,15,24.09,24.18,23.9,77.95,4.76,0.02,1981-07-15
1981,7,16,24.04,24.27,23.72,79.31,5.41,0.03,1981-07-16
1981,7,17,23.96,24.07,23.83,77.04,5.23,0.04,1981-07-17
1981,7,18,24.0,24.19,23.69,76.72,4.95,0.02,1981-07-18
1981,7,19,24.11,24.3,23.85,78.33,4.83,0.02,1981-07-19
1981,7,20,23.98,24.1,23.83,81.01,5.95,0.22,1981-07-20
1981,7,21,24.11,24.19,23.95,75.06,5.08,0.19,1981-07-21
1981,7,22,23.9,24.02,23.55,73.74,5.09,0.23,1981-07-22
1981,7,23,23.67,23.99,23.29,75.79,4.84,0.16,1981-07-23
1981,7,24,23.75,23.86,23.65,75.69,4.68,0.18,1981-07-24
1981,7,25,24.03,24.18,23.77,74.59,4.58,0.03,1981-07-25
1981,7,26,24.05,24.14,23.95,74.7,4.48,0.2,1981-07-26
1981,7,27,24.07,24.16,23.97,76.04,4.5,0.13,1981-07-27
1981,7,28,23.95,24.09,23.83,78.82,5.26,0.06,1981-07-28
1981,7,29,24.11,24.3,23.81,75.83,5.44,0.09,1981-07-29
1981,7,30,23.98,24.24,23.69,75.93,5.04,0.02,1981-07-30
1981,7,31,23.99,24.15,23.78,78.43,5.27,0.03,1981-07-31
1981,8,1,23.88,24.1,23.72,79.23,4.86,0.01,1981-08-01
1981,8,2,24.01,24.13,23.82,76.13,4.7,0.04,1981-08-02
1981,8,3,23.97,24.15,23.76,78.41,5.61,0.04,1981-08-03
1981,8,4,23.96,24.08,23.84,78.6,6.64,0.93,1981-08-04
1981,8,5,24.16,24.25,24.01,77.24,6.09,0.53,1981-08-05
1981,8,6,23.88,24.01,23.76,77.38,4.51,0.42,1981-08-06
1981,8,7,24.09,24.3,23.82,76.27,4.12,0.32,1981-08-07
1981,8,8,24.18,24.33,24.07,77.55,4.07,0.07,1981-08-08
1981,8,9,24.21,24.42,23.99,78.0,4.18,0.42,1981-08-09
1981,8,10,24.06,24.37,23.7,79.25,4.42,0.12,1981-08-10
1981,8,11,24.04,24.46,23.51,78.12,3.63,0.16,1981-08-11
1981,8,12,24.22,24.59,23.73,75.81,3.67,1.01,1981-08-12
1981,8,13,24.0,24.2,23.66,77.26,4.84,1.76,1981-08-13
1981,8,14,24.01,24.21,23.89,75.93,4.89,0.37,1981-08-14
1981,8,15,24.0,24.17,23.76,76.63,4.35,0.06,1981-08-15
1981,8,16,24.09,24.28,23.81,76.54,4.54,0.04,1981-08-16
1981,8,17,24.07,24.22,23.87,77.6,6.04,0.02,1981-08-17
1981,8,18,23.97,24.19,23.75,78.35,6.82,0.14,1981-08-18
1981,8,19,23.82,24.01,23.48,76.69,4.67,0.14,1981-08-19
1981,8,20,23.58,23.81,23.43,77.09,4.94,0.11,1981-08-20
1981,8,21,23.49,23.7,23.27,76.58,4.58,0.15,1981-08-21
1981,8,22,23.36,23.62,23.05,73.56,4.3,0.14,1981-08-22
1981,8,23,23.31,23.47,23.13,73.68,4.19,0.27,1981-08-23
1981,8,24,23.32,23.39,23.22,77.12,5.54,0.0,1981-08-24
1981,8,25,23.57,23.97,23.18,79.02,6.1,0.0,1981-08-25
1981,8,26,23.77,23.9,23.57,77.14,4.51,0.0,1981-08-26
1981,8,27,23.81,23.99,23.59,82.04,4.99,0.0,1981-08-27
1981,8,28,23.89,24.1,23.67,82.74,5.96,0.0,1981-08-28
1981,8,29,24.21,24.32,24.02,79.45,5.2,0.03,1981-08-29
1981,8,30,24.2,24.29,24.1,79.36,4.53,0.1,1981-08-30
1981,8,31,24.08,24.29,23.9,79.92,4.59,0.08,1981-08-31
1981,9,1,24.34,24.5,24.09,75.63,4.35,0.0,1981-09-01
1981,9,2,24.36,24.65,24.07,75.23,4.51,0.08,1981-09-02
1981,9,3,24.32,24.54,24.13,77.33,5.23,0.41,1981-09-03
1981,9,4,24.09,24.23,23.82,77.69,4.6,0.04,1981-09-04
1981,9,5,23.9,24.11,23.72,76.99,3.85,0.05,1981-09-05
1981,9,6,24.16,24.46,23.83,75.09,2.58,0.0,1981-09-06
1981,9,7,24.45,24.63,24.31,76.01,3.14,0.06,1981-09-07
1981,9,8,24.64,24.78,24.41,80.45,4.94,0.1,1981-09-08
1981,9,9,24.18,24.36,23.9,82.17,6.19,0.27,1981-09-09
1981,9,10,24.35,24.59,24.02,79.61,4.96,0.28,1981-09-10
1981,9,11,24.49,24.64,24.37,76.82,4.2,0.78,1981-09-11
1981,9,12,24.41,24.54,24.1,75.68,4.05,0.53,1981-09-12
1981,9,13,24.09,24.39,23.77,78.94,4.13,0.41,1981-09-13
1981,9,14,24.13,24.36,23.83,77.25,4.22,0.53,1981-09-14
1981,9,15,23.97,24.07,23.87,75.57,3.61,0.07,1981-09-15
1981,9,16,24.08,24.28,23.92,74.35,2.83,0.08,1981-09-16
1981,9,17,24.31,24.48,24.12,76.95,3.65,1.17,1981-09-17
1981,9,18,24.49,24.74,24.23,75.36,3.93,0.18,1981-09-18
1981,9,19,24.19,24.41,24.02,78.89,4.51,0.07,1981-09-19
1981,9,20,24.3,24.4,24.21,76.8,3.96,0.01,1981-09-20
1981,9,21,24.52,24.79,24.16,76.8,3.82,0.03,1981-09-21
1981,9,22,24.74,24.91,24.54,75.68,3.98,0.09,1981-09-22
1981,9,23,24.72,25.04,24.34,74.12,2.73,0.09,1981-09-23
1981,9,24,24.91,25.1,24.6,76.55,3.37,0.05,1981-09-24
1981,9,25,25.03,25.13,24.88,76.14,3.42,0.39,1981-09-25
1981,9,26,25.32,25.65,24.89,72.46,2.17,0.28,1981-09-26
1981,9,27,25.31,25.42,25.19,73.49,1.53,0.28,1981-09-27
1981,9,28,25.36,25.57,25.06,75.66,2.95,0.41,1981-09-28
1981,9,29,25.32,25.45,25.17,78.41,4.12,0.55,1981-09-29
1981,9,30,25.43,25.7,25.17,76.53,3.69,0.36,1981-09-30
1981,10,1,25.52,25.59,25.38,75.93,3.42,0.07,1981-10-01
1981,10,2,25.51,25.62,25.39,75.05,3.44,0.26,1981-10-02
